,drugs,match_substructures?
170,CC(C)N(CCC(C(=N)O)(c1ccccc1)c1ccccn1)C(C)C,False
171,CCN(CC)CC(O)=Nc1c(C)cccc1C,False
172,NCCC(O)(P(=O)(O)O)P(=O)(O)O,False
173,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,False
174,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O,False
175,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,False
176,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)[O-])cc4CC[C@H]3[C@@H]1CCC2=O.[Na+],False
177,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O,False
178,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,False
179,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,False
180,Cc1c(C(O)=N[C@H](C(O)=N[C@H](C)[C@@H](O)[C@H](C)C(O)=N[C@H](C(O)=NCCc2nc(-c3nc(C(O)=NCCC[S+](C)C)cs3)cs2)[C@@H](C)O)[C@@H](OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(OC(=N)O)C2O)c2cnc[nH]2)nc([C@H](CC(=N)O)NC[C@H](N)C(=N)O)[nH]c1=N,False
181,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,False
182,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,False
183,Cc1nc(O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2n1,False
184,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,False
185,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,False
186,CCCN1CCCC[C@H]1C(O)=Nc1c(C)cccc1C,False
187,CCCCN1CCCCC1C(O)=Nc1c(C)cccc1C,False
188,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,False
189,N=c1nc(O)c2ncn(CCC(CO)CO)c2[nH]1,False
190,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,False
191,Cc1onc(-c2c(F)cccc2Cl)c1C(O)=N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,False
192,NC[C@H]1CC[C@H](C(=O)O)CC1,False
193,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(O)=Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,True
194,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,False
195,CO[C@@]12[C@H](COC(=N)O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,False
196,C=CCC1(C(C)CC)C(O)=NC(=O)N=C1O,False
197,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,False
198,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,False
199,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=N)O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,False
200,NS(=O)(=O)c1cc(C2(O)N=C(O)c3ccccc32)ccc1Cl,False
201,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,False
202,CCCC(C)C1(CC)C(O)=NC(=O)N=C1O,False
203,CCCC(CCC)C(=O)O,False
204,C[C@@H]1N=C(O)[C@@H](N)CN=C(O)[C@H]([C@H]2CCNC(=N)N2)N=C(O)/C(=C\NC(=N)O)N=C(O)[C@H](CN=C(O)C[C@@H](N)CCCN)N=C1O.N=C(O)N/C=C1/N=C(O)[C@H](CN=C(O)C[C@@H](N)CCCN)N=C(O)[C@H](CO)N=C(O)[C@@H](N)CN=C(O)[C@H]([C@H]2CCNC(=N)N2)N=C1O,False
205,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(O)=N3)cc12,False
206,CC(O)=Nc1ccc(O)cc1,False
207,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,False
208,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,False
209,CCN1CCN(C(O)=N[C@@H](C(O)=N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,False
